"study","group","trial","condition","Respembed","Respdelay","Respradius","HRembed","HRdelay","HRradius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","pair"
"2","urrogateGroup10&7b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.0522286068188,92.3519539678734,8775,106,5.26769230769231,2.14765602408005,95.9042595700471,7.52382445141066,11.7797584059989,95.4738615771012,138188,46,4.56366688858656,2.10282582056853,98.1038270145229,6.89584131443409,"Surrogate"
"2","urrogateGroup10&7b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.535994976413572,90.4024160652651,4874,70,4.72897004513746,2.05384929146791,94.1010354565422,6.0555275113579,10.7437033475621,96.1287752408934,126345,43,4.58366377775139,2.11578060516261,98.426910340363,6.77460926789142,"Surrogate"
"2","urrogateGroup10&7c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,2.39160638930566,95.5064476147781,16991,254,6.39462068153729,2.29093684271059,99.0585691305609,8.36676813423417,13.8098349616508,97.250173042553,138582,82,5.43419780346654,2.35670616902248,98.1999700403938,6.25446814110525,"Surrogate"
"2","urrogateGroup10&7c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.833298120296563,93.508754225743,7703,96,4.81176165130469,2.0289784508738,99.5761642867955,6.63472852580266,11.5849630775201,97.5998202020264,122796,54,5.16324635981628,2.29052960882569,98.4321555129322,6.29592469698611,"Surrogate"
"2","urrogateGroup10&7d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.07875926497043,94.3114939392758,6360,198,7.60927672955975,2.53665436009208,97.0826674981487,8.90384271671135,13.9126629268627,95.6159263313602,148868,68,5.01074777655372,2.23830235761845,98.2333985351385,7.00319839166591,"Surrogate"
"2","urrogateGroup10&7d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.150333388623057,87.3584114109915,1597,31,3.91170945522855,1.84986799117793,94.3923926723535,5.04107542942494,11.949194496439,97.6752203593208,113914,61,5.74525519251365,2.43958901271051,98.4366651642733,6.8148350967102,"Surrogate"
"2","urrogateGroup10&8a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,3.45504009976537,95.308126658067,18197,200,8.60784744738143,2.54180601012792,96.7343685350598,12.6406138188757,15.7293794797754,94.060178251341,162370,30,5.10945987559279,2.25400295314202,95.2069867450933,5.70168184194624,"Surrogate"
"2","urrogateGroup10&8a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.284121905641255,87.118017018128,2745,21,4.28925318761384,1.95269543118781,93.1557528671846,7.02959240647683,12.369066437637,98.0267767803848,123589,62,5.5012986592658,2.37392436979129,98.8608478256482,7.08667073183336,"Surrogate"
"2","urrogateGroup10&8b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.68566383722033,94.9191225072646,12058,234,6.31190910598773,2.39984822861465,96.5578738635372,7.54757262624293,13.2022475917641,96.2237237034416,138359,48,5.14856279678228,2.27602648792515,98.1602202332549,6.88939030517923,"Surrogate"
"2","urrogateGroup10&8b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,1.4072811310049,92.1796806142723,11555,84,5.34019904803116,2.25424246262273,94.1396154822904,6.32774374937243,12.2247399162253,96.5442389637823,142072,63,4.65822963004674,2.13327442487864,98.5355065624303,6.8588633109597,"Surrogate"
"2","urrogateGroup10&8c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,4.96909556734089,96.924710620727,26202,203,8.74356919319136,2.57332682165278,98.6631016042781,13.242930153322,16.1668530861943,97.9398683351277,134689,71,6.5919859825227,2.61714075042837,98.8242159233308,8.26355452247865,"Surrogate"
"2","urrogateGroup10&8c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,1.36069480892565,94.8165314793357,9452,113,6.49280575539568,2.4119712268403,98.0409424488219,12.9795459194109,13.8128309897736,97.9469210270817,140993,97,5.38070684360216,2.32931183508526,98.7003966204631,6.53360910031024,"Surrogate"
"2","urrogateGroup10&8d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.43534644687845,92.7749135860332,9806,202,6.45961656128901,2.45630620090551,97.080965492999,9.07240624144539,13.2943932900384,91.5742085897142,156837,45,4.35267825831915,2.00276666222982,98.1865205044314,6.99343607578609,"Surrogate"
"2","urrogateGroup10&8d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.0865294682663266,73.153547133139,1040,13,2.89519230769231,1.29933421036666,83.9407191448008,3.72707659115426,12.1819751814737,97.0806403208924,131998,59,5.02396248428007,2.24667087743877,98.6028297674555,7.04750295585573,"Surrogate"
"2","urrogateGroup10&9a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.994941726103119,91.4615335854797,7161,126,6.0446864962994,2.2951373263384,94.252752128806,7.89364714209874,19.2925842597243,98.4315276983076,136644,130,7.79287052486754,2.80900979790537,99.1787890188452,9.97325735957093,"Surrogate"
"2","urrogateGroup10&9a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.283533269802708,89.3230518276859,2957,17,4.0740615488671,1.92321302383983,93.1489582560985,5.07390953150242,12.3476662367604,97.2080602438524,133885,88,5.02711282070434,2.24415307816494,98.155075348144,5.97214337812069,"Surrogate"
